id,name,pref,lat,lng,tags,created_from_csv,needs_location
Hlk4vTgXpBlWg47g5o8b,"阿蘇山","","","","","",""
HxlGppPNowKMgmSHqiBn,"","","","","","",""
dLSjthCqUUZtwMpmvPT3,"阿蘇山","","32.8842","","","",""
f8ZOP9Et9GCO2onBv3H6,"","","","","","",""
