🔎 タグ「日本二百名山」の山をエクスポートします...
mountain_id,mountain_name,pref,mountain_name_kana,mountain_lat,mountain_lng,trailhead_name,trailhead_lat,trailhead_lng,access_notes,parking_spaces,public_transport,elevation_m,description,notes,source_url
nWi64BvEmznsimLoX72P,餓鬼岳,長野県,がきだけ,,,,,,,,,,,,
xDesbVS7jqtbJzxBWx0e,岩菅山,長野県,いわすげやま,,,,,,,,,,,,
Lf5i5xddnBoeLxNwM2WT,経ヶ岳,長野県,きょうがたけ,,,,,,,,,,,,
bmPkxtJpfumfIgf3qVVp,戸隠山,長野県,とがくしやま,,,,,,,,,,,,
F86Z7ssQFHj9eFSvDgaS,御座山,長野県,おぐらさん,,,,,,,,,,,,
tvDq7tVXlB7LKhbVdHtU,黒姫山,長野県,くろひめやま,,,,,,,,,,,,
B3h5ZNnF6LRovcSov9XH,大天井岳,長野県,おてんしょうだけ,,,,,,,,,,,,
q90UmWIgGj3WHbYStGp9,鳥甲山,長野県,とりかぶとやま,,,,,,,,,,,,
znBgbrUd0TFcEVE1fb4X,天狗岳,長野県,てんぐだけ,,,,,,,,,,,,
G0RP1D7i4mOFFomaWJ7b,南駒ヶ岳,長野県,みなみこまがたけ,,,,,,,,,,,,
QzIvqZtV9fLzlCEncdqJ,飯縄山,長野県,いいづなやま,,,,,,,,,,,,
FU1z8Ja7NGZKQyyREzvi,有明山,長野県,ありあけやま,,,,,,,,,,,,
D6PwLEbK4G2T8HOS2Jpw,小秀山,長野県・岐阜県,こひでやま,,,,,,,,,,,,
xdJ6F4EAj1AMQg7C1XFX,池口岳,長野県・静岡県,いけぐちだけ,,,,,,,,,,,,
1sS2GCB6Q02K6nFny3kb,蒜山,鳥取県・岡山県,ひるぜん,,,,,,,,,,,,
6EevbwhBaljJqtmgzQSi,三瓶山,島根県,さんべさん,,,,,,,,,,,,
nTbVnuPAoDoff6gWNyKf,大岳山,東京都,おおだけさん,,,,,,,,,,,,
k44tuamDRTLHt2BRufFu,三嶺,徳島県・高知県,みうね,,,,,,,,,,,,
MkmdVQHqCEyjFUS5yXqs,女峰山,栃木県,にょほうさん,,,,,,,,,,,,
b9Nw4KJsyU89e7X6pnga,金剛山,奈良県,こんごうざん,,,,,,,,,,,,
eMJDz1l6LEUZhYBOuYW6,釈迦ヶ岳,奈良県,しゃかがたけ,,,,,,,,,,,,
DXwD6nwixG4R0omv0Goy,伯母子岳,奈良県,おばこだけ,,,,,,,,,,,,
9VDPxisgVMPV0CrwuF3R,金剛堂山,富山県,こんごうどうざん,,,,,,,,,,,,
g85ftvyEWoMG02KaWgfb,赤牛岳,富山県,あかうしだけ,,,,,,,,,,,,
afiAw2MYevF3Of1KlGdk,大日岳,富山県,だいにちだけ,,,,,,,,,,,,
4AghiIeB7lMF9vktII4Q,毛勝山,富山県,けかつやま,,,,,,,,,,,,
EXttjlmj7yqvNW3dEHAQ,烏帽子岳,富山県・長野県,えぼしだけ,,,,,,,,,,,,
BWUge7HNDvKHrvEx6dZZ,針ノ木岳,富山県・長野県,はりのきだけ,,,,,,,,,,,,
D97aAzIExL0BkqBM6W9N,英彦山,福岡県・大分県,ひこさん,,,,,,,,,,,,
5Xe9k2fI0f8tTuJIob8Z,朝日岳,福島県,あさひだけ,,,,,,,,,,,,
WEDPEQJN35BB4OzoGVYX,帝釈山,福島県・栃木県,たいしゃくざん,,,,,,,,,,,,
Qdv6ea0EICeLHsSzomwt,氷ノ山,兵庫県・鳥取県,ひょうのせん,,,,,,,,,,,,
txNW4ISW7YOWbvzL4Xk0,カムイエクウチカウシ山,北海道,かむいえくうちかうしやま,,,,,,,,,,,,
VQ5KgxSpgyibqgudLGUu,ニペソツ山,北海道,にぺそつやま,,,,,,,,,,,,
cg3FasjpYEiFmPFWgOI0,ペテガリ岳,北海道,ぺてがりだけ,,,,,,,,,,,,
HiFiyxK0tqxocndf4DF7,芦別岳,北海道,あしべつだけ,,,,,,,,,,,,
KPAH0YEmzRBZw8URXisp,駒ヶ岳,北海道,こまがたけ,,,,,,,,,,,,
0MOAOFGeOcRhkzBzvbVc,暑寒別岳,北海道,しょかんべつだけ,,,,,,,,,,,,
pfdOvyVPj2MjpHlMXm7C,石狩岳,北海道,いしかりだけ,,,,,,,,,,,,
Hrz94WtqTeQuvhOUGxNO,樽前山,北海道,たるまえさん,,,,,,,,,,,,
wnuOApKjgLcgbikCtjWu,天塩岳,北海道,てしおだけ,,,,,,,,,,,,
BdLAOJOeE5fMDdYAU5Sk,夕張岳,北海道,ゆうばりだけ,,,,,,,,,,,,
