current_id,stable_id,name,pref
A5XS8KTYobBZkhDCJ4n0,3c1ef536de36832d189e7157b907c9e97843f520,東赤石山,愛媛県
BI6fRSKjdUlE7XDXx83v,1f8703c9ffa1d72e6263e31e546236d861423068,笹ヶ峰,愛媛県・高知県
FufenYjHeqiKWDEtZU1j,f9a732fa879ec1f53a9db4212da18ff62e64804f,焼石岳,岩手県
LOsWD31Cj9iX7f2t0cdr,3ca20ffe89642155516fa37f2a70a55364d64d48,姫神山,岩手県
gGky3P0NXFRAu4jEaKrh,4bfd9d047cd12bd7712a81ef1068ef82bf19506b,栗駒山,岩手県・宮城県
J5J3WFzJ8dudEZDbzT3o,f708076da32718a087e9199fbea9e99b1bfa7336,和賀岳,岩手県・秋田県
6rUVsarDnd33wMGEPfxF,ab55d40af464583600d731507b961eb9b23533b9,位山,岐阜県
8MufmIahMvPgWli7yZmQ,1ab2341d5eee56b2e4e32f8d641db2c240f1adde,大日ヶ岳,岐阜県
eXEk7zMOCMKaYAeb6Q6W,b7abc4d362ccbc24ce276fc5ec61d3071b1d7ef5,能郷白山,岐阜県
LkD59V6eoQ4H2Mssi82L,bf4c1ac67d42cfdf18ea8efc601625acb8d45766,高千穂峰,宮崎県
RAlbtCRizobHdLM4AVKv,1b57ffc52fa20c8153fea4b6a7c2dc602137946e,大崩山,宮崎県
Y9jkumI6RiWcS2q9OT1J,d04b0a600e6152ca793b748ad7f9ed3d0c0c9863,尾鈴山,宮崎県
hZu6fGALGqUzzc8UKqU3,e0b173dcc7bf47521cf7a828a38ddbc553d2cdb3,船形山,宮城県・山形県
JYkx8mOJ7G7vKSBxWJJ0,35578e219f50a319f757e4be12a4ffff5f8df412,市房山,熊本県・宮崎県
in7PQAEJuvLv6ScwkNKB,981c7d9b45dc274285fc5d9d54a50629662c64b5,榛名山,群馬県
eDLxXcYo5cZ7aIY9jR9O,1931a866c4ccbf9c983e4b64d58e34889b1487f2,浅間隠山,群馬県
D7C60MpymgEUUko6BYD7,d7d6dbc49fcf38b178b2e6a620efb99c924d856b,妙義山,群馬県
PWlpSvl4GJqlC4L5OiGO,dad075af9db21bf699c4d83d00b8703f74f6250d,仙ノ倉山,群馬県・新潟県
thChuPo8NYIt9SiaOBbh,19fd6fd6334e8a73490b69b633984462c645df92,荒船山,群馬県・長野県
1mybK2r6Q3L3YRcDZMDd,29b2a131eeac4099b41c309bcfabe2a7ac1ebdb7,白砂山,群馬県・長野県
Pk3qdDQ0NdXTYP2a0tan,24d93cb3fcc24ef3a5af66b9f80b14e44faf66be,白石山,埼玉県
j1sw5C6NGIL7AkRsc3jS,854b0325a25b4e561669fe0a00dc0a95ba87aa29,武甲山,埼玉県
5ApmShJLvPO61PsYUIZn,578411452a3cb591e41a7ef34d5f5971b4a97e21,以東岳,山形県・新潟県
5VrXeyFg71XxQKxnORlI,91ccfec998ed2c2968a30bdfb523d62d4d19b2e5,茅ヶ岳,山梨県
jICCIcEjZJW7KCv0tfnQ,b410473bf57be27a05af17d3be791227e28f4841,乾徳山,山梨県
ye4WLECyhlkxsRQvvPVv,4b427bf5858d0ce703ed832dd8766935745d5e8d,櫛形山,山梨県
kVIqFFY2NDUb3sLwdspK,102858c6fd6a6082774208d87ae4c529f9663097,御正体山,山梨県
OrH2I047EtCr1Bv1YcvU,42b07b8ff366095da6ac96e5e905ccd31fe81a2f,三ッ峠山,山梨県
QWTAgUu2gdnH95oGRTUK,95b30479e9b2053343302c1f9a454ba31e81dd54,七面山,山梨県
kMKbifhAmFr8in1smtMD,b448870aace3d2a4e598fad85a29fe49690553c2,毛無山,山梨県
pz8zU0KCVINN9xOPmc6b,0f36293c1f2bf31405f18b73e843747efba74e94,農鳥岳,山梨県・静岡県
McIwmzpZM5cqFNHcceUn,c1edc84fe53ebbb82040c40a838cf6e68607e7fc,笊ヶ岳,山梨県・静岡県
OuEyUtlWkVb5yZeBGN2H,1b684581135053085ad9edf8f10a1619a57f9180,鋸岳,山梨県・長野県
NYoD0k4HMF8ikO4MMgiJ,0a0205bfc4d7162a8c695d667cc9635bdf50d620,武奈ヶ岳,滋賀県
Y8WB9eHdbGW6YlHUXauD,e4656c6efecadacb4c62d7324136fbec9dd84cbe,御在所岳,滋賀県・三重県
Gmh2NkD9cwdBx489gens,a00d8a50c40d21612a65715faa4c9dadfdaafc70,御岳,鹿児島県
nmw6b8WDGqUdhfyZ4TmG,70ace3c491543a76257bb7524f6cf5fe46ceb748,駒ヶ岳,秋田県
anbkR2hAQoYUMyFxqJDt,b28886de966cd97bc861aefa6ae31d0c79c55912,森吉山,秋田県
rkS1xHuRGeu0Dhh20nAf,b3009b804e712bb4ae99416d2ea2006dfab38f94,神室山,秋田県・山形県
ulWM5Jxei4AwCRPCnhdB,af2c507b53e2037ba3f1543262666e278b3e05b5,御神楽岳,新潟県
shxsPtWdDyXpN1oRJ0AL,97f6581e235a3d055325ae33518036ef59cd6cd6,荒沢岳,新潟県
y0mMNXYJT6w3J7MgLcVf,ffad5b23e06fa209e9f157659d92cbbfae88b86d,守門岳,新潟県
lBI3EKfiM0k2kHJ4B5Iy,31ab73eacfcb0e5b7e8f7c2a4acef3878c86f49a,中ノ岳,新潟県
Xn9neIbd6xijJSI56Ofe,477ed0b2e5993153f3efce824ce3956e4731fc44,二王子岳,新潟県
pe3G8fi5txiw8yYpCbSV,2f2fae7465cad3a36850c474c30b202f12d0f7b1,八海山,新潟県
ksTrTd9vnjrevb62K7AC,b776df21ab348ac0bf612c8069260f73af9cefea,杁差岳,新潟県
4o0FEKUa3uf8IbmvN2lA,ba3d135d8f225180889d313c92881ff0888b8a55,佐武流山,新潟県・長野県
8HD4qah8xWrLEosooSYV,dc15d5248911fc3683fdc9fd7920effdfb7fd7ea,雪倉岳,新潟県・富山県
b0nfvQOEhyhXGzydDzBb,62ed0e0255553769fc3f9bc5f22923abf0333612,白神岳,青森県
A7eWJfUEEDwIhSLsNLQC,68b3248151901f5b234e6ce79b0a102871d3754e,愛鷹山,静岡県
O1NgMcriECelfeR4thqx,f30ddfbcffb5a891deb655427812740efe31d8d5,上河内岳,静岡県
Ebgx0IW3u83hM0bLrH4W,95152cd430d6d283882b9d6e63b146bdffbc53a6,大無間山,静岡県
CQoqi5H204JTE69LYUdS,5a1f028cb306bf996fa497edf60d5a542c660a0b,笈ヶ岳,石川県・富山県
lWHzKRqsxIWuZC82KBac,d84612385f4cf35932b278afcc367adbea772c5e,由布岳,大分県
inTqUcpKV3gqoijdHgp5,61b8e1d887931c8bca63710185807d211195fe5f,雲仙岳,長崎県
XvCgeruq3eHhzVZruph9,cd9b11306305ae2744d8f81edc1464c67f62d71b,安平路山,長野県
uY32jwazFlF5ouEhSOUN,97aa882a9acd86a62c1801a6151804dfa6d638a1,燕岳,長野県
2DxjAVOmXF46xK1bKi1u,1c149b0ce759d8708c9431141f443873dffbb477,霞沢岳,長野県
nWi64BvEmznsimLoX72P,99e202969e0a449bacf2976ed7a97d65d666d5e5,餓鬼岳,長野県
xDesbVS7jqtbJzxBWx0e,16e3e44569e92e14389116638ecd8311f5806d0c,岩菅山,長野県
Lf5i5xddnBoeLxNwM2WT,8ffe91ce766ff09ce918acfe66235ea18833d758,経ヶ岳,長野県
bmPkxtJpfumfIgf3qVVp,0b3b8020c926c0219e9707acf13d7055d3e5e256,戸隠山,長野県
F86Z7ssQFHj9eFSvDgaS,67ebe979441d7b5bc80e2e374aa9e6e4cfaa22a2,御座山,長野県
tvDq7tVXlB7LKhbVdHtU,888a1394c4a9deadf08fe1f112e60ee428874e6f,黒姫山,長野県
B3h5ZNnF6LRovcSov9XH,9210f4af08bcf99ce9f3cf3495bd1a380bc67549,大天井岳,長野県
q90UmWIgGj3WHbYStGp9,54912e4ceb500990ae5a6d8b38dbd48cf57eee73,鳥甲山,長野県
znBgbrUd0TFcEVE1fb4X,2e180745af68b18ba8fd9545b7b87ffb05c69bf8,天狗岳,長野県
G0RP1D7i4mOFFomaWJ7b,85db916afb1a3d9effed2635280cab17796d7127,南駒ヶ岳,長野県
QzIvqZtV9fLzlCEncdqJ,738ae12537b6dafe9c393803e9a5940798d44c9f,飯縄山,長野県
FU1z8Ja7NGZKQyyREzvi,73154cf4985ce44ba0879227aa7c333951f88d80,有明山,長野県
D6PwLEbK4G2T8HOS2Jpw,7ab88cc2399349d5af406ff60f968f81c3444980,小秀山,長野県・岐阜県
xdJ6F4EAj1AMQg7C1XFX,0646058141b900bc912c663bc20a6f2ab50bf2cd,池口岳,長野県・静岡県
1sS2GCB6Q02K6nFny3kb,56c1c35bbba33b3df5c101f1ef6b1aae85dacbc0,蒜山,鳥取県・岡山県
6EevbwhBaljJqtmgzQSi,18159ec159cbbdb2da4c6165be8ead444d24f3b2,三瓶山,島根県
nTbVnuPAoDoff6gWNyKf,6f51820f4756999ab1c66d9ceecda3d8d5a602f8,大岳山,東京都
k44tuamDRTLHt2BRufFu,adf9ec173de27a72468ba47832f68b4acce7df94,三嶺,徳島県・高知県
MkmdVQHqCEyjFUS5yXqs,7a7c553fd62933aa40b4f18f280840baf85dde86,女峰山,栃木県
b9Nw4KJsyU89e7X6pnga,906beda48dc0b6f8f0c552630ece8077f0c47ce8,金剛山,奈良県
eMJDz1l6LEUZhYBOuYW6,644362d60184900fb09fdcefdfa148d3635456ef,釈迦ヶ岳,奈良県
DXwD6nwixG4R0omv0Goy,1c9a2ab993014a4dab8fe624eac5576829d3742e,伯母子岳,奈良県
9VDPxisgVMPV0CrwuF3R,b18de4f07d1a273a2cd8d08e57163b6942a4ff60,金剛堂山,富山県
g85ftvyEWoMG02KaWgfb,182c954bce13f70320be4c6256064794ddc384de,赤牛岳,富山県
afiAw2MYevF3Of1KlGdk,1a68d9ee8ea2ce8db65a4848618357da454b1f18,大日岳,富山県
4AghiIeB7lMF9vktII4Q,78b3603275b177cb78a473e7e219022e07cd8502,毛勝山,富山県
EXttjlmj7yqvNW3dEHAQ,79ea17ba10c0a4f533bf23c63d5279a704a1aa90,烏帽子岳,富山県・長野県
BWUge7HNDvKHrvEx6dZZ,2d3876abd56976dec23222e2694d247de93b13d4,針ノ木岳,富山県・長野県
D97aAzIExL0BkqBM6W9N,b7b62143afd5a325823c3aed100e31d6f7bfd4a2,英彦山,福岡県・大分県
5Xe9k2fI0f8tTuJIob8Z,864c826eb49edf9841bf403343e2107c289ff65c,朝日岳,福島県
WEDPEQJN35BB4OzoGVYX,56f4295a23950d703acef20fa1c50a03afbb1598,帝釈山,福島県・栃木県
