mountain_name,mountain_name_kana,pref,variants,candidates
"朝日岳","あさひだけ","山形県・新潟県","朝日岳|朝日嶽|山形朝日岳|山形県朝日岳|山形朝日嶽|山形県朝日嶽","朝日岳（福島県）:5Xe9k2fI0f8tTuJIob8Z | 朝日岳（福島県）:864c826eb49edf9841bf403343e2107c289ff65c"
"飯豊山","いいでさん","山形県・福島県・新潟県","飯豊山|山形飯豊山|山形県飯豊山",""
