mountain_id,mountain_name,pref,mountain_name_kana,mountain_lat,mountain_lng,trailhead_name,trailhead_lat,trailhead_lng,access_notes,parking_spaces,public_transport,elevation_m,description,notes,source_url
5a1f028cb306bf996fa497edf60d5a542c660a0b,笈ヶ岳,石川県・富山県,おいずるがたけ,,,,,,,,,,,,
d84612385f4cf35932b278afcc367adbea772c5e,由布岳,大分県,ゆふだけ,,,,,,,,,,,,
61b8e1d887931c8bca63710185807d211195fe5f,雲仙岳,長崎県,うんぜんだけ,,,,,,,,,,,,
cd9b11306305ae2744d8f81edc1464c67f62d71b,安平路山,長野県,あんぺいじやま,,,,,,,,,,,,
97aa882a9acd86a62c1801a6151804dfa6d638a1,燕岳,長野県,つばくろだけ,,,,,,,,,,,,
1c149b0ce759d8708c9431141f443873dffbb477,霞沢岳,長野県,かすみざわだけ,,,,,,,,,,,,
99e202969e0a449bacf2976ed7a97d65d666d5e5,餓鬼岳,長野県,がきだけ,,,,,,,,,,,,
16e3e44569e92e14389116638ecd8311f5806d0c,岩菅山,長野県,いわすげやま,,,,,,,,,,,,
8ffe91ce766ff09ce918acfe66235ea18833d758,経ヶ岳,長野県,きょうがたけ,,,,,,,,,,,,
0b3b8020c926c0219e9707acf13d7055d3e5e256,戸隠山,長野県,とがくしやま,,,,,,,,,,,,
67ebe979441d7b5bc80e2e374aa9e6e4cfaa22a2,御座山,長野県,おぐらさん,,,,,,,,,,,,
888a1394c4a9deadf08fe1f112e60ee428874e6f,黒姫山,長野県,くろひめやま,,,,,,,,,,,,
9210f4af08bcf99ce9f3cf3495bd1a380bc67549,大天井岳,長野県,おてんしょうだけ,,,,,,,,,,,,
54912e4ceb500990ae5a6d8b38dbd48cf57eee73,鳥甲山,長野県,とりかぶとやま,,,,,,,,,,,,
2e180745af68b18ba8fd9545b7b87ffb05c69bf8,天狗岳,長野県,てんぐだけ,,,,,,,,,,,,
85db916afb1a3d9effed2635280cab17796d7127,南駒ヶ岳,長野県,みなみこまがたけ,,,,,,,,,,,,
738ae12537b6dafe9c393803e9a5940798d44c9f,飯縄山,長野県,いいづなやま,,,,,,,,,,,,
73154cf4985ce44ba0879227aa7c333951f88d80,有明山,長野県,ありあけやま,,,,,,,,,,,,
7ab88cc2399349d5af406ff60f968f81c3444980,小秀山,長野県・岐阜県,こひでやま,,,,,,,,,,,,
0646058141b900bc912c663bc20a6f2ab50bf2cd,池口岳,長野県・静岡県,いけぐちだけ,,,,,,,,,,,,
56c1c35bbba33b3df5c101f1ef6b1aae85dacbc0,蒜山,鳥取県・岡山県,ひるぜん,,,,,,,,,,,,
18159ec159cbbdb2da4c6165be8ead444d24f3b2,三瓶山,島根県,さんべさん,,,,,,,,,,,,
6f51820f4756999ab1c66d9ceecda3d8d5a602f8,大岳山,東京都,おおだけさん,,,,,,,,,,,,
adf9ec173de27a72468ba47832f68b4acce7df94,三嶺,徳島県・高知県,みうね,,,,,,,,,,,,
7a7c553fd62933aa40b4f18f280840baf85dde86,女峰山,栃木県,にょほうさん,,,,,,,,,,,,
906beda48dc0b6f8f0c552630ece8077f0c47ce8,金剛山,奈良県,こんごうざん,,,,,,,,,,,,
644362d60184900fb09fdcefdfa148d3635456ef,釈迦ヶ岳,奈良県,しゃかがたけ,,,,,,,,,,,,
1c9a2ab993014a4dab8fe624eac5576829d3742e,伯母子岳,奈良県,おばこだけ,,,,,,,,,,,,
b18de4f07d1a273a2cd8d08e57163b6942a4ff60,金剛堂山,富山県,こんごうどうざん,,,,,,,,,,,,
182c954bce13f70320be4c6256064794ddc384de,赤牛岳,富山県,あかうしだけ,,,,,,,,,,,,
1a68d9ee8ea2ce8db65a4848618357da454b1f18,大日岳,富山県,だいにちだけ,,,,,,,,,,,,
78b3603275b177cb78a473e7e219022e07cd8502,毛勝山,富山県,けかつやま,,,,,,,,,,,,
79ea17ba10c0a4f533bf23c63d5279a704a1aa90,烏帽子岳,富山県・長野県,えぼしだけ,,,,,,,,,,,,
2d3876abd56976dec23222e2694d247de93b13d4,針ノ木岳,富山県・長野県,はりのきだけ,,,,,,,,,,,,
b7b62143afd5a325823c3aed100e31d6f7bfd4a2,英彦山,福岡県・大分県,ひこさん,,,,,,,,,,,,
864c826eb49edf9841bf403343e2107c289ff65c,朝日岳,福島県,あさひだけ,,,,,,,,,,,,
56f4295a23950d703acef20fa1c50a03afbb1598,帝釈山,福島県・栃木県,たいしゃくざん,,,,,,,,,,,,
ff3d1a285345891ab3ddace51995cd81df4a4a63,氷ノ山,兵庫県・鳥取県,ひょうのせん,,,,,,,,,,,,
6d287e838b85622c9283a998a6ff0efad1042b42,カムイエクウチカウシ山,北海道,かむいえくうちかうしやま,,,,,,,,,,,,
f83e6cdfeaeb1179b9d74b5beee0227852c557a6,ニペソツ山,北海道,にぺそつやま,,,,,,,,,,,,
85f2290ec5fac74daf2a190de55390492554828c,ペテガリ岳,北海道,ぺてがりだけ,,,,,,,,,,,,
069fa561d704ca7844a493aaf510582a78e63f8d,芦別岳,北海道,あしべつだけ,,,,,,,,,,,,
4571330cd2dd635909ad84624c3ee591ddbc9f13,駒ヶ岳,北海道,こまがたけ,,,,,,,,,,,,
c76f2988eaf53ee817c174216c2cdea60dda408b,暑寒別岳,北海道,しょかんべつだけ,,,,,,,,,,,,
0cc07d8660ba9775cf183a9b4da6ff1ef900e69d,石狩岳,北海道,いしかりだけ,,,,,,,,,,,,
fd77db543ef9cdf1c013958639db5b736cffaad7,樽前山,北海道,たるまえさん,,,,,,,,,,,,
5e3e2b78d7484f429454db101e8601d440f29c2b,天塩岳,北海道,てしおだけ,,,,,,,,,,,,
efcceacf587f6b643f083cccd20916998d2acdac,夕張岳,北海道,ゆうばりだけ,,,,,,,,,,,,
